crash_numb,city_town_name,crash_date,crash_severity_descr,crash_status,crash_time_2,max_injr_svrty_cl,numb_vehc,numb_fatal_injr,numb_nonfatal_injr,weath_cond_descr,speed_limit,lat,lon,dist_dirc_exit,vehc_unit_numb,driver_age,max_injr_svrty_vl,total_occpt_in_vehc,pers_numb,age,injy_stat_descr
"4508776","BOSTON","02/05/2018","Non-fatal injury","Closed","1:25 PM","Non-fatal injury - Possible","2","0","1","Clear","","42.30966021","-71.07318972","","1","50","No injury","1","1","50","No injury"
"4508776","BOSTON","02/05/2018","Non-fatal injury","Closed","1:25 PM","Non-fatal injury - Possible","2","0","1","Clear","","42.30966021","-71.07318972","","2","25","Non-fatal injury - Possible","1","2","25","Non-fatal injury - Possible"
"4508777","BOSTON","01/30/2018","Not Reported","Closed","10:34 PM","Not reported","2","0","0","Clear/Clear","","42.32205599","-71.07719735","","1","","Not reported","0","1","","Not reported"
"4508777","BOSTON","01/30/2018","Not Reported","Closed","10:34 PM","Not reported","2","0","0","Clear/Clear","","42.32205599","-71.07719735","","2","","Not reported","","2","","Not reported"
"4508779","BOSTON","02/02/2018","Property damage only (none injured)","Closed","8:40 PM","No injury","2","0","0","Clear/Clear","","42.32036695","-71.08944168","","1","","No injury","1","1","","No injury"
"4508779","BOSTON","02/02/2018","Property damage only (none injured)","Closed","8:40 PM","No injury","2","0","0","Clear/Clear","","42.32036695","-71.08944168","","2","","Unknown","","2","","Unknown"
"4508781","BOSTON","02/03/2018","Non-fatal injury","Closed","12:36 AM","Non-fatal injury - Possible","2","0","1","Clear","","42.30953522","-71.08266798","","1","34","Non-fatal injury - Possible","2","1","34","No injury"
"4508781","BOSTON","02/03/2018","Non-fatal injury","Closed","12:36 AM","Non-fatal injury - Possible","2","0","1","Clear","","42.30953522","-71.08266798","","1","34","Non-fatal injury - Possible","2","2","32","Non-fatal injury - Possible"
"4508781","BOSTON","02/03/2018","Non-fatal injury","Closed","12:36 AM","Non-fatal injury - Possible","2","0","1","Clear","","42.30953522","-71.08266798","","2","","Not reported","","3","","Not reported"
"4508783","BOSTON","02/03/2018","Property damage only (none injured)","Closed","8:42 AM","No injury","2","0","0","Clear","","42.32687673","-71.06693547","","1","46","No injury","1","1","46","No injury"
"4508783","BOSTON","02/03/2018","Property damage only (none injured)","Closed","8:42 AM","No injury","2","0","0","Clear","","42.32687673","-71.06693547","","2","34","No injury","1","2","34","No injury"
